kldb_title_de,kldb_title_en_proxy,kldb_5_code
Assistent/in - Betriebsleitung im Gartenbau,Assistant - management in horticulture,12102
Assistent/in - Bibliotheken,Assistant - Libraries,73322
Assistent/in - Biotechnologie,Assistant - Biotechnology,41212
Assistent/in - Computertechnik,Assistant - Computer Technology,43122
Assistent/in - Controlling,Assistant - Controlling,72233
Assistent/in - Datentechnik,Assistant - data technology,43122
Assistent/in - Datenverarbeitung (Bauwesen),Assistant - Data Processing (Construction),31102
Assistent/in - Datenverarbeitungstechnik,Assistant - data processing technology,43102
Assistent/in - Design und visuelle Kommunikation,Assistant - Design and Visual Communication,23222
Assistent/in - Einkauf,Assistant - Purchasing,61112
Assistent/in - Einzelhandel,Assistant - Retail,62102
Assistent/in - Elektronik und Datentechnik,Assistant - Electronics and Data Technology,26312
Assistent/in - Elektrotechnik,Assistant - Electrical Engineering,26302
Assistent/in - Ernhrung und Versorgung,Assistant - Nutrition and Care,83212
Assistent/in - Filmgeschftsfhrung,Assistant - Film Management,92382
Assistent/in - Finanzen,Assistant - Finance,72122
Assistent/in - Fotodesign,Assistant - Photo Design,23222
Assistent/in - Fototechnik,Assistant - photo technology,23312
Assistent/in - Freizeitwirtschaft,Assistant - Leisure Management,63112
Assistent/in - Funktionsdiagnostik,Assistant - functional diagnostics,81222
Assistent/in - Gebudeservice,Assistant - Building Service,34102
Assistent/in - Geovisualisierung,Assistant - Geovisualization,31222
Assistent/in - Gestaltungstechnik,Assistant - design technology,23212
Assistent/in - Gesundheits- und Sozialwesen,Assistant - Health and Social Services,73222
Assistent/in - Gesundheitsdienst,Assistant - Health Service,82213
Assistent/in - Gesundheitstourismus/-prophylaxe,Assistant - Health Tourism/Prophylaxis,82222
Assistent/in - Grafik-Design,Assistant - Graphic Design,23222
Assistent/in - Hotel- und Tourismusmanagement,Assistant - Hotel and Tourism Management,63212
Assistent/in - Hotelmanagement,Assistant - Hotel Management,63212
Assistent/in - Informatik,Assistant - Computer Science,43102
Assistent/in - Informatik (allgemeine Informatik),Assistant - Computer Science (General Computer Science),43102
Assistent/in - Informatik (Betriebsinformatik),Assistant - Computer Science (Business Informatics),43112
Assistent/in - Informatik (Medieninformatik),Assistant - Computer Science (Media Informatics),43152
Assistent/in - Informatik (Softwaretechnik),Assistant - Computer Science (Software Technology),43412
Assistent/in - Informatik (technische Informatik),Assistant - Computer Science (Technical Computer Science),43122
Assistent/in - Informatik (Wirtschaftsinformatik),Assistant - Computer Science (Business Informatics),43112
Assistent/in - Informations- und Kommunikationstechnik,Assistant - Information and Communication Technology,43102
Assistent/in - Informationstechnik,Assistant - Information Technology,43102
Assistent/in - Informationstechnik/Software,Assistant - Information Technology/Software,43412
Assistent/in - Innenarchitektur,Assistant - Interior Design,93212
Assistent/in - Internationale Betriebswirtschaft,Assistant - International Business Administration,71302
Assistent/in - Kamera,Assistant - Camera,94522
Assistent/in - klinische Studien,Assistant - clinical studies,73342
Assistent/in - Konstruktions- und Fertigungstechnik,Assistant - design and manufacturing technology,27303
Assistent/in - Landwirtschaft,Assistant - Agriculture,11102
Assistent/in - Lasertechnik,Assistant - Laser Technology,24243
Assistent/in - Lebensmitteltechnik,Assistant - Food Technology,29202
Assistent/in - Licht- und Tongestaltung,Assistant - Light and Sound Design,94512
Assistent/in - Logistik,Assistant - Logistics,51312
Assistent/in - Marketing,Assistant - Marketing,92112
Assistent/in - Maschinenbautechnik,Assistant - Mechanical Engineering Technology,25103
Assistent/in - Maschinentechnik,Assistant - mechanical engineering,25103
Assistent/in - Mechatronik,Assistant - Mechatronics,26112
Assistent/in - mechatronische Systeme,Assistant - mechatronic systems,26112
Assistent/in - Medientechnik,Assistant - Media Technology,92302
Assistent/in - medizinische Dokumentation,Assistant - medical documentation,73342
Assistent/in - medizinische Sektion und Prparation,Assistant - medical dissection and preparation,41222
Assistent/in - Medizinisch-technisches Laboratorium,Assistant - Medical-Technical Laboratory,81212
Assistent/in - Medizintechnik,Assistant - Medical Technology,82502
Assistent/in - Mode und Design,Assistant - Fashion and Design,28212
Assistent/in - Nachrichtentechnik,Assistant - Communications Engineering,26312
Assistent/in - Nuklearmedizin,Assistant - Nuclear Medicine,81232
Assistent/in - Ohrenheilkunde,Assistant - Otolaryngology,81222
Assistent/in - Operationstechnik,Assistant - Surgical Technique,81332
Assistent/in - Personalwesen,Assistant - Human Resources,71513
Assistent/in - Pressestelle,Assistant - Press Office,92203
Assistent/in - Produktdesign,Assistant - Product Design,93102
Assistent/in - Produktionsleitung,Assistant - Production Manager,27303
Assistent/in - Radiologie,Assistant - Radiology,81232
Assistent/in - regenerative Energie,Assistant - renewable energy,26242
Assistent/in - Rettungsdienst,Assistant - emergency services,81342
Assistent/in - Screen Design,Assistant - Screen Design,23222
Assistent/in - Softwaretechnologie,Assistant - Software Technology,43412
Assistent/in - Sozialmedizin,Assistant - Social Medicine,82213
Assistent/in - Sozialpdagogik,Assistant - Social Pedagogy,83112
Assistent/in - Sozialpflege,Assistant - Social Care,83142
Assistent/in - Steuerberatung,Assistant - tax advice,72303
Assistent/in - Technische Dokumentation,Assistant - Technical Documentation,73332
Assistent/in - Technische Kommunikation,Assistant - Technical Communication,73332
Assistent/in - Telemedizin,Assistant - Telemedicine,73342
Assistent/in - Textil u. Modedesign,Assistant - Textile and Fashion Design,28212
Assistent/in - Textiltechnik,Assistant - Textile Technology,28102
Assistent/in - Textverarbeitung,Assistant - word processing,71402
Assistent/in - Tiermedizin,Assistant - Veterinary Medicine,81242
Assistent/in - berwach. d. Auslandsfert. (Bekleidungsind.),Assistant - Monitoring d. Foreign production (clothing industry),28222
Assistent/in - Umweltschutztechnik,Assistant - Environmental Protection Technology,42202
Assistent/in - Veranstaltungstechnik,Assistant - event technology,94512
Assistent/in - Verkaufsleitung,Assistant - Sales Manager,62103
Assistent/in - Vertrieb,Assistant - Sales,61122
Assistent/in - Veterinrmedizin,Assistant - Veterinary Medicine,81242
Assistent/in - Wirtschaftsinformatik,Assistant - Business Informatics,43112
Assistent/in - Wirtschaftsprfung,Assistant - Auditing,72243
Assistent/in - Zytologie,Assistant - Cytology,81212
Assistent/in (kaufmnnisch) - Vertrieb,Assistant (commercial) - Sales,61122
Assistent/in (technisch) - Vertrieb,Assistant (technical) - Sales,61122
Assistent/in in der Textilwirtschaft,Assistant in the textile industry,28102
Assistent/in/Fachkraft - Rechnungswesen,Assistant/Specialist - Accounting,72213
Assistenzarzt/-rztin,Assistant doctor,81404
Assistenzarzt/-rztin - Augenheilkunde,Assistant doctor - ophthalmology,81444
Assistenzarzt/-rztin (Uni) - Ansthesiologie,Assistant doctor (university) - anesthesiology,81454
Assistenzarzt/-rztin (Uni) - Anatomie,Assistant doctor (university) - anatomy,81214
Assistenzarzt/-rztin (Uni) - Arbeitsmedizin,Assistant doctor (university) - occupational medicine,81484
Assistenzarzt/-rztin (Uni) - Biochemie,Assistant doctor (university) - biochemistry,81214
Assistenzarzt/-rztin (Uni) - Chirurgie,Assistant doctor (university) - surgery,81434
Assistenzarzt/-rztin (Uni) - Frauenheil./Geburtsh.,Assistant doctor (university) - gynecology/obstetrics.,81444
Assistenzarzt/-rztin (Uni) - Gefáchirurgie,Assistant doctor (university) - vascular surgery,81434
Assistenzarzt/-rztin (Uni) - Hals-Nasen-Ohrenheilkunde,"Assistant doctor (university) - ear, nose and throat medicine",81444
Assistenzarzt/-rztin (Uni) - Haut- u. Geschlechtskrankheit.,Assistant doctor (university) - skin and sexually transmitted diseases.,81444
Assistenzarzt/-rztin (Uni) - Herzchirurgie,Assistant doctor (university) - cardiac surgery,81434
Assistenzarzt/-rztin (Uni) - Humangenetik,Assistant doctor (university) - human genetics,81484
Assistenzarzt/-rztin (Uni) - Hygiene u. Umweltmedizin,Assistant doctor (university) - hygiene and environmental medicine,81484
Assistenzarzt/-rztin (Uni) - Innere Med./Allgem.Med,Assistant doctor (university) - internal medicine/general medicine,81404
Assistenzarzt/-rztin (Uni) - Innere Medizin,Assistant doctor (university) - internal medicine,81424
Assistenzarzt/-rztin (Uni) - Kind./Jgd.psychiat. u. -psycho,Assistant doctor (university) - child/young psychiatrist. and -psycho,81464
Assistenzarzt/-rztin (Uni) - Kinder-/Jugendmedizin,Assistant doctor (university) - pediatric/adolescent medicine,81414
Assistenzarzt/-rztin (Uni) - Kinderchirurgie,Assistant doctor (university) - pediatric surgery,81434
Assistenzarzt/-rztin (Uni) - Klinische Pharmakologie,Assistant doctor (university) - clinical pharmacology,81814
Assistenzarzt/-rztin (Uni) - Laboratoriumsmedizin,Assistant doctor (university) - laboratory medicine,81214
Assistenzarzt/-rztin (Uni) - Mikrob./Virol./Infektionsepid.,Assistant doctor (university) - Microbial/Virol./Infectious Epid.,81214
Assistenzarzt/-rztin (Uni) - Mund-Kiefer-Gesichtschirurgie,Assistant doctor (university) - oral and maxillofacial surgery,81474
Assistenzarzt/-rztin (Uni) - Neurochirurgie,Assistant doctor (university) - neurosurgery,81434
Assistenzarzt/-rztin (Uni) - Neurologie,Assistant doctor (university) - neurology,81464
Assistenzarzt/-rztin (Uni) - Neuropathologie,Assistant doctor (university) - neuropathology,81214
Assistenzarzt/-rztin (Uni) - Nuklearmedizin,Assistant doctor (university) - nuclear medicine,81234
Assistenzarzt/-rztin (Uni) - ffentliches Gesundheitswesen,Assistant doctor (university) - public health system,81484
Assistenzarzt/-rztin (Uni) - Orthopdie und Unfallchirurgie,Assistant doctor (university) - orthopedics and trauma surgery,81434
Assistenzarzt/-rztin (Uni) - Pathologie,Assistant doctor (university) - pathology,81214
Assistenzarzt/-rztin (Uni) - Pharmakologie und Toxikologie,Assistant doctor (university) - pharmacology and toxicology,81814
Assistenzarzt/-rztin (Uni) - Physikal./Rehabilitat.,Assistant doctor (university) - physical/rehabilitation.,81484
Assistenzarzt/-rztin (Uni) - Physiologie,Assistant doctor (university) - physiology,81484
Assistenzarzt/-rztin (Uni) - Plastische Chirurgie,Assistant doctor (university) - plastic surgery,81434
Assistenzarzt/-rztin (Uni) - Psychiatrie u. Psychotherapie,Assistant doctor (university) - Psychiatry and psychotherapy,81464
Assistenzarzt/-rztin (Uni) - Psychosom. Medizin u. Psychoth,Assistant doctor (University) - Psychosom. Medicine and Psychoth,81464
Assistenzarzt/-rztin (Uni) - Radiologie,Assistant doctor (university) - radiology,81234
Assistenzarzt/-rztin (Uni) - Rechtsmedizin,Assistant doctor (university) - forensic medicine,81214
"Assistenzarzt/-rztin (Uni) - Sprach-, Stimm- u. kindl.Hrst","Assistant doctor (university) - speech, voice and child hearing aid",81444
Assistenzarzt/-rztin (Uni) - Strahlentherapie,Assistant doctor (university) - radiation therapy,81234
Assistenzarzt/-rztin (Uni) - Thoraxchirurgie,Assistant doctor (university) - thoracic surgery,81434
Assistenzarzt/-rztin (Uni) - Transfusionsmedizin,Assistant doctor (university) - transfusion medicine,81214
Assistenzarzt/-rztin (Uni) - Urologie,Assistant doctor (university) - urology,81444
Assistenzarzt/-rztin (Uni) - Viszeralchirurgie,Assistant doctor (university) - visceral surgery,81434
Assistenz-Kameramann/-frau,Assistant cameraman/woman,94522
Assistenz-Tanzlehrer/in,Assistant dance teacher,84533
Assistenzzahnarzt/-rztin,Assistant dentist/doctor,81474
Astro-/Weltraumphysiker/in (Uni),Astro/space physicist (university),41484
Astrologe/Astrologin,Astrologer/Astrologer,94383
Astronom/in (Uni),Astronomer (University),41484
Astrophysiker/in,Astrophysicist,41484
"Astrophysiker/in, Astronom/in","Astrophysicist, astronomer",41484
Atelierfotograf/in,Studio photographer,23322
Atelierleiter/in - Bekleidung,Studio manager - clothing,28294
Atelierleiter/in - Rauchwaren,Studio manager - tobacco products,28394
Atelierleiter/in - Stickerei,Studio manager - embroidery,28194
Atelierleiter/in - Weberei,Studio manager - weaving,28194
"Atem-, Sprech- u. Stimmlehrer/in - therapeutischen Bereich","Breathing, speaking and voice teacher - therapeutic area",81733
"Atem-, Sprech- und Stimmlehrer/in","Breathing, speaking and voice teacher",81733
"Atem-,Sprech-,Stimmlehrer/in-knstlerisch-musischer Bereich","Breathing, speaking, voice teacher-artistic-musical area",81733
Atemlehrer/in,Breathing instructor,81733
Atempdagoge/-pdagogin,Breath teacher/educator,81733
Atemtherapeut/in,Respiratory therapist,81733
Atemtherapiekursleiter/in,Respiratory therapy course leader,84484
Atlasloge/Atlaslogin,Atlaslogist/Atlaslogin,81753
Atmungsorthopde/-orthopdin,Respiratory orthopde/-orthopdin,81713
Atomphysiker/in,Nuclear physicist,41484
Atomtechniker/in,Nuclear engineer,26233
Attrappenmacher/in,Dummy maker,23122
tzer/in (Druckformen),tzer/in (printing forms),23212
Audiodesigner/in - Musik,Audio designer - music,94183
Audiodeskriptor/in,Audio descriptor,92413
Audio-Engineer,Audio engineer,94532
Audiologieassistent/in,Audiology assistant,81222
Audiologie-Phoniatrie-Assistent/in,Audiology-phoniatry assistant,81222
Audiometrieassistent/in,Audiometry assistant,81222
Audiometrist/in,Audiometrist,81222
Audio-neurootologische/r Assistent/in,Audio neuro-otological assistant,81222
Audio-Producer/in,Audio producer,94404
Audio-Techniker/in,Audio technician,94533
Aufbumer/in (Kabel),Boomer (cable),26301
Aufbaumonteur/in (Metallbau),Construction fitter (metal construction),24412
Aufbauorganisator/in,Organizational organizer,71314
Aufbereiter/in - Bergbau,Processor - Mining,21212
Aufbereiter/in (Kfz),Detailer (motor vehicle),25212
Aufbereitungsingenieur/in (Bergbau),Processing engineer (mining),21114
Aufbereitungsmechaniker/in - Braunkohle,Processing mechanic - brown coal,21212
Aufbereitungsmechaniker/in - Feuerfeste/keramische Rohstoffe,Processing mechanic - refractory/ceramic raw materials,21212
Aufbereitungsmechaniker/in - Naturstein,Processing mechanic - natural stone,21212
Aufbereitungsmechaniker/in - Sand und Kies,Processing mechanic - sand and gravel,21212
Aufbereitungsmechaniker/in - Sortierung/Klassierung,Processing mechanic - sorting/classification,21212
Aufbereitungsmechaniker/in - Steinkohle,Processing mechanic - hard coal,21212
Aufbereitungsmechaniker/in - Zerkleinerung,Processing mechanic - shredding,21212
Aufbereitungsmechaniker/in Gewinnung (Naturstein),Processing mechanic for extraction (natural stone),21212
Aufbereitungsmechaniker/in Gewinnung (Sand u. Kies),Processing mechanic for extraction (sand and gravel),21212
"Aufbereitungsmechaniker/in Gewinnung(feuerf.,keram.Rohstoff)","Processing mechanic in extraction (refractory, ceramic raw materials)",21212
Aufdampfer/in (Elektromontage),Evaporator (electrical assembly),26301
Aufnahmeleiter/in - Film und Fernsehen,Production manager - film and television,94493
Aufnahmeleiter/in (Rundfunk),Production manager (broadcasting),94493
Aufnahmeleiterassistent/in,Assistant production manager,94402
Aufnahmeschwester/-pfleger,Reception nurse/nurse,81382
Aufreiber/in,disruptor,24201
Aufreiáer/in (Modellbau),Breaker (model making),22301
Aufschlger/in (Schmiedehelfer/in),Servant (blacksmith assistant),24411
Aufseher/in (Landwirtschaft),Supervisor (agriculture),11193
Aufsicht (Spielhalle),Supervision (arcade),53111
Aufsicht (Verkauf),Supervision (sales),62193
Aufsicht -Messe/Ausstellungen/Warenhuser,Supervision - trade fairs/exhibitions/department stores,53111
Aufsichtsperson (Unfallversicherung),Supervisor (accident insurance),73214
Aufspanner/in (Buchbinderei),Stretcher (bookbinding),23411
Auftragsakquisiteur/in,Order acquisition agent,61123
