de,en
Beamt(er/in) - Fernmeldedienst (einf. techn. Dienst),Civil servant - telecommunications service (simple technical service)
Beamt(er/in) - Fernmeldedienst (geh. techn. Dienst),Civil servant - telecommunications service (technical service)
Beamt(er/in) - Fernmeldedienst (hh. techn. Dienst),Civil servant - telecommunications service (higher technical service)
Beamt(er/in) - Fernmeldedienst (mittl. techn. Dienst),Civil servant - telecommunications service (intermediate technical service)
Beamt(er/in) - Feuerwehr (geh. techn. Dienst),Civil servant - fire brigade (technical service)
Beamt(er/in) - Feuerwehr (hh. techn. Dienst),Civil servant - fire brigade (technical service)
Beamt(er/in) - Feuerwehr (mittl. techn. Dienst),Civil servant - fire brigade (intermediate technical service)
Beamt(er/in) - Flurbereinigung (geh. techn. Dienst),Civil servant - land consolidation (technical service)
Beamt(er/in) - Flurbereinigung (mittl. techn. Dienst),Civil servant - land consolidation (intermediate technical service)
Beamt(er/in) - Forstdienst (geh. Dienst),Civil servant - forestry service (private service)
Beamt(er/in) - Forstdienst (hh. Dienst),Civil servant - forestry service (higher service)
Beamt(er/in) - Forstdienst (mittl. Dienst),Civil servant - forestry service (intermediate service)
Beamt(er/in) - Forstdienst (mittl. techn. Dienst),Civil servant - forestry service (intermediate technical service)
Beamt(er/in) - Gehobener bautechnischer Dienst,Civil servant - Higher civil service
Beamt(er/in) - gehobener nichttechnischer Dienst,Civil servant - senior non-technical service
Beamt(er/in) - gehobener technischer Dienst,Civil servant - senior technical service
Beamt(er/in) - Gesundheitsdienst (mittl. Dienst),Civil servant - health service (intermediate service)
Beamt(er/in) - Gewerbeaufsicht (geh. techn. Dienst),Civil servant - trade inspection (technical service)
Beamt(er/in) - Gewerbeaufsicht (hh. techn. Dienst),Civil servant - trade supervision (technical service)
Beamt(er/in) - Gewerbeaufsicht (mittl. techn. Dienst),Civil servant - trade inspection (intermediate technical service)
Beamt(er/in) - Gewerbeaufsichtsverw. (mittl. techn. Dienst),Civil servant - trade supervisory authority (mittl. techn. Dienst)
Beamt(er/in) - Hochbau (geh. techn. Dienst),Civil servant - building construction (technical service)
Beamt(er/in) - Hochbau (hh. techn. Dienst),Civil servant - building construction (technical service)
Beamt(er/in) - Hherer bautechnischer Dienst,Civil servant - higher civil service
Beamt(er/in) - Hherer Beratungs- und Fachschuldienst,Civil servant - higher advisory and technical school service
Beamt(er/in) - Hherer landwirtschaftlicher Dienst,Civil servant - higher agricultural service
Beamt(er/in) - hherer nichttechnischer Dienst,Civil servant - higher non-technical service
Beamt(er/in) - hherer technischer Dienst,Civil servant - higher technical service
Beamt(er/in) - Internationale Organisationen (hh.Dienst),Civil servant - International organizations (high service)
Beamt(er/in) - Justizdienst (mittl. Dienst),Civil servant - judicial service (intermediate service)
Beamt(er/in) - Justizverwaltung (geh.Dienst),Civil servant - justice administration (senior service)
Beamt(er/in) - Justizverwaltung (hh. Dienst),Civil servant - justice administration (higher service)
Beamt(er/in) - Justizverwaltung (mittl. Dienst),Civil servant - justice administration (intermediate service)
Beamt(er/in) - Justizvollzugsdienst (geh. Dienst),Civil servant - correctional service (paid duty)
Beamt(er/in) - Justizvollzugsdienst (mittl. Dienst),Civil servant - correctional service (intermediate service)
Beamt(er/in) - Kommunalverwaltung (einfacher Dienst),Civil servant - local government (simple service)
Beamt(er/in) - Kommunalverwaltung (geh. Dienst),Civil servant - local government (on duty)
Beamt(er/in) - Kommunalverwaltung (geh. techn. Dienst),Civil servant - local government (technical service)
Beamt(er/in) - Kommunalverwaltung (hh. Dienst),Civil servant - local government (higher service)
Beamt(er/in) - Kommunalverwaltung (mittl. Dienst),Civil servant - local government (intermediate service)
Beamt(er/in) - Kommunalverwaltung (mittl. techn. Dienst),Civil servant - local government (intermediate technical service)
Beamt(er/in) - Kriminaldienst (geh. Dienst),Civil servant - criminal investigation service (private duty)
Beamt(er/in) - Kriminaldienst (hh. Dienst),Officer - Criminal Investigation Department (higher duty)
Beamt(er/in) - Kriminaldienst (mittl. Dienst),Civil servant - criminal investigation service (intermediate service)
Beamt(er/in) - Kriminaldienst Bund (geh. Dienst),Civil servant - Federal Criminal Police Service (private duty)
Beamt(er/in) - Lagerverwaltung (einf. Dienst) Bundeswehr,Civil servant - camp administration (simple service) Bundeswehr
Beamt(er/in) - Lnder (geh. Dienst),Civil servant - countries (paid service)
Beamt(er/in) - Lnder (geh. techn. Dienst),Civil servant - countries (technical service)
Beamt(er/in) - Lnder (hh. Dienst),Civil servant - countries (higher service)
Beamt(er/in) - Lnder (mittl. Dienst),Civil servant - countries (intermediate service)
Beamt(er/in) - Lnder (mittl. techn. Dienst),Civil servant - countries (intermediate technical service)
Beamt(er/in) - Landeskriminaldienst (geh. Dienst),Official - State Criminal Police Service (private duty)
Beamt(er/in) - Landwirt. Sozialversicherung (geh. Dienst),Civil servant - farmer. Social security (public service)
Beamt(er/in) - landwirtschaftl. Verwalt. (geh. techn.Dienst),Civil servant - agricultural Admin. (go technical service)
Beamt(er/in) - mittlerer nichttechnischer Dienst,Civil servant - medium non-technical service
Beamt(er/in) - mittlerer technischer Dienst,Civil servant - medium technical service
Beamt(er/in) - Polizeivollzugsdienst (geh. Dienst),Civil servant - police enforcement service (paid duty)
Beamt(er/in) - Polizeivollzugsdienst (hh. Dienst),Officer - police enforcement service (higher duty)
Beamt(er/in) - Polizeivollzugsdienst (mittl. Dienst),Civil servant - police enforcement service (intermediate service)
Beamt(er/in) - Postdienst (einf. techn. Dienst),Civil servant - postal service (simple technical service)
Beamt(er/in) - Postdienst (geh. techn. Dienst),Civil servant - postal service (technical service)
Beamt(er/in) - Postdienst (hh. techn. Dienst),Civil servant - postal service (technical service)
Beamt(er/in) - Postdienst (mittl. techn. Dienst),Civil servant - postal service (intermediate technical service)
Beamt(er/in) - Post-und Fernmeldedienst (geh. techn. Dienst),Civil servant - postal and telecommunications service (technical service)
Beamt(er/in) - Post-und Fernmeldedienst (hh. techn. Dienst,Civil servant - postal and telecommunications service (higher technical service).
Beamt(er/in) - Sozialversicherung (geh. Dienst),Civil servant - social security (paid service)
Beamt(er/in) - Sozialversicherung (hh. Dienst),Civil servant - social security (higher service)
Beamt(er/in) - Sozialversicherung (mittl. Dienst),Civil servant - social security (intermediate service)
Beamt(er/in) - Sozialverwaltung (geh. Dienst),Civil servant - social administration (private duty)
Beamt(er/in) - Sozialverwaltung (mittl. Dienst),Civil servant - social administration (intermediate service)
Beamt(er/in) - Steuerverwaltung (einf.Dienst),Civil servant - tax administration (simple service)
Beamt(er/in) - Steuerverwaltung (geh. Dienst),Civil servant - tax administration (private duty)
Beamt(er/in) - Steuerverwaltung (hh. Dienst),Civil servant - tax administration (higher service)
Beamt(er/in) - Steuerverwaltung (mittl. Dienst),Civil servant - tax administration (intermediate service)
Beamt(er/in) - Umweltverwaltung (geh. techn. Dienst),Civil servant - environmental administration (secondary technical service)
Beamt(er/in) - Umweltverwaltung (hh. techn. Dienst),Civil servant - environmental administration (technical service)
Beamt(er/in) - Verfassungsschutz (geh. Dienst),Civil servant - Federal Office for the Protection of the Constitution (former duty)
Beamt(er/in) - Verfassungsschutz (hh. Dienst),Civil servant - Federal Office for the Protection of the Constitution (higher service)
Beamt(er/in) - Verfassungsschutz (mittl. Dienst),Civil servant - Office for the Protection of the Constitution (intermediate service)
Beamt(er/in) - Vermessungswesen (geh. techn. Dienst),Civil servant - surveying (technical service)
Beamt(er/in) - Vermessungswesen (hh. techn. Dienst),Civil servant - surveying (higher technical service)
Beamt(er/in) - Vermessungswesen (mittl. techn. Dienst),Civil servant - surveying (intermediate technical service)
Beamt(er/in) - Versorgungsverwaltung (geh. Dienst),Civil servant - supply administration (on duty)
"Beamt(er/in) - Wasser-, Schifffahrtsverw. (geh.tech.Dienst)",Civil servant - water and shipping administration (go.tech.service)
"Beamt(er/in) - Wasser-, Schifffahrtsverwaltung (geh. Dienst)",Civil servant - water and shipping administration (private duty)
Beamt(er/in) - Wehrverwaltung (geh. Dienst),Civil servant - military administration (private duty)
Beamt(er/in) - Wehrverwaltung (geh. techn. Dienst),Civil servant - military administration (technical service)
Beamt(er/in) - Wehrverwaltung (hh. techn. Dienst),Civil servant - military administration (higher technical service)
Beamt(er/in) - Wehrverwaltung (mittl. Dienst),Civil servant - military administration (intermediate service)
Beamt(er/in) - Wehrverwaltung (mittl. techn. Dienst),Civil servant - military administration (intermediate technical service)
Beamt(er/in) - Wetterdienst (geh. Dienst),Civil servant - weather service (private duty)
Beamt(er/in) - Wetterdienst (mittl. Dienst),Civil servant - weather service (intermediate duty)
Beamt(er/in) - wissenschaftliche Bibliotheken (h.Dienst),Civil servant - academic libraries (service)
Beamt(er/in) - Zolldienst (einf. Dienst),Civil servant - customs service (simple service)
Beamt(er/in) - Zolldienst (geh. Dienst),Civil servant - customs service (paid service)
Beamt(er/in) - Zolldienst (hh. Dienst),Civil servant - customs service (higher service)
Beamt(er/in) - Zolldienst (mittl. Dienst),Civil servant - customs service (intermediate service)
Bearbeiter/in - Schuhmacher-Handwerk,Processor - shoemaking craft
Bearbeiter/in fr Gas- und Wasserinst. (õ66 BBiG/õ42m HWO),Processor for gas and water systems. (õ66 BBiG/õ42m HWO)
Beauftragte/r - Datenschutz,Officer - data protection
Beauty- und Wellness-Fachkraft,Beauty and wellness specialist
Beauty-Fachkraft,Beauty professional
Beauty-Stylist/in,Beauty stylist
Becherdreher/in,Cup turner
Bedienung (Restaurant),Service (restaurant)
Befrachtungsmakler/in,Freight broker
Befrager/in,Interrogator
Behlter- u. Apparatebauermeister/in/B. Prof. Beh./App.b.Hw.,Master container and apparatus builder/B. Prof. Beh./App.b.Hw.
Behlter- und Apparatebauer/in,Container and apparatus builder
"Behlter-, Rohrreiniger/in",Container and pipe cleaner
Behlterbauer/in,Container builder
Behlterbauerhelfer/in,Container builder assistant
Behlterbaumeister/in,Master container builder
Behlterisolierer/in,Container insulator
Behlterklempner/in,Container plumber
Behlterreiniger/in,Container cleaner
Behindertenassistent/in,Disabled assistant
Behindertenausbilder/in (Berufsbildungswerk),Disabled trainer (vocational training center)
Behindertenfahrer/in,Disabled driver
Behindertenheimleiter/in,Manager for the disabled
Behindertenhelfer/in,Disabled helper
Behindertenhilfe,Disabled assistance
Behindertenpdagoge/-pdagogin,Disabled educator
Behindertenpfleger/in,Carer for the disabled
Behindertenpsychologe/-psychologin,Psychologist for the disabled
Behindertenreitlehrer/in,Riding instructor for the disabled
Behindertensportlehrer/in,Disabled sports teacher
Behindertensporttrainer/in,Disabled sports trainer
Behrden- und Betriebsassistent/in - Umweltberatung,Administrative and operational assistant - environmental consulting
Behrden-/Betriebsassistent/in - Agrarw. (Umweltsch./Land...,Administrative/operational assistant - agricultural. (Environmental/Land...
Beifahrer/in,Passenger
Beifahrer/in (Kraftfahrer),Passenger (driver)
Beikoch/Beikchin (õ66 BBiG/õ42m HWO),Beikoch/Beikchin (õ66 BBiG/õ42m HWO)
Beikoch/-kchin,Assistant cook/cook
Beilagenkoch/-kchin,Side dish cook/cook
Beizer/in und Polierer/in,Stainer and polisher
Bekleidungsdesigner/in,Clothing designer
Bekleidungseinkufer/in,Clothing buyer
Bekleidungsfachwirt/in,Clothing specialist
Bekleidungsfertiger/in,Clothing manufacturer
Bekleidungsfertigungstechniker/in,Garment Manufacturing Technician
Bekleidungsgestalter/in - Damenbekleidung,Clothing designer - women's clothing
Bekleidungsgestalter/in - Herrenbekleidung,Clothing designer - men's clothing
Bekleidungsgestalter/in - Krschnerei,Clothing designer - skinning
Bekleidungsgestalter/in - Modisterei,Clothing designer - millinery
Bekleidungsgestalter/in - Pelznhen,Clothing designer - fur sewing
Bekleidungsgestalter/in (FS) - Bekleidungsgestalt.-konstr.,Clothing designer (FS) - clothing design-constr.
Bekleidungshelfer/in,Clothing assistant
Bekleidungsingenieur/in,Clothing engineer
Bekleidungsnher/in,Clothing sewer
Bekleidungsschneider/in,Clothing tailor
Bekleidungsschnittzeichner/in,Clothing pattern designer
Bekleidungsstoffleger/in,Clothing fabricator
Bekleidungstechniker/in - Bekleidungsfertigung,Clothing Technician - Clothing Manufacturing
Bekleidungstechniker/in - Bekleidungsgestaltung,Clothing technician - clothing design
Bekleidungstechniker/in - Produktmanagement,Clothing Technician - Product Management
Bekleidungstechnikmeister/in,Clothing technology master
Bekleidungstechnische/r Assistent/in,Clothing technical assistant
Bekleidungsteilenher/in,Clothing parts maker
Bekleidungsteilenher/in (õ66 BBiG/õ42m HWO),Clothing parts maker (õ66 BBiG/õ42m HWO)
Bekleidungsverkufer/in,Clothing salesperson
Bekleidungszubehrfertiger/in,Clothing accessories manufacturer
Belader/in,Loader
Beleghebamme/Belegentbindungspfleger,Attending midwife/attendant maternity nurse
Beleuchter/in,Illuminator
Beleuchtungsanlagentechniker/in,Lighting system technician
